# time  ID  size  fromHost  toHost  TTL  isResponse
852.4008 M422 1874593 dtn5_37 ADB9 140 N 
855.0812 M423 2992926 dtn8_45 ADB9 140 N 
855.5470 M424 1531510 dtn3_30 ADB9 140 N 
858.0547 M425 1240952 dtn3_29 ADB9 140 N 
859.7638 M426 2598267 dtn5_35 ADB9 140 N 
859.9938 M427 1850515 dtn3_31 ADB9 140 N 
862.0757 M428 2874569 dtn5_36 ADB9 140 N 
870.1564 M429 2116894 dtn8_46 ADB9 140 N 
872.7704 M430 2771889 dtn7_42 ADB9 140 N 
873.3504 M431 1623448 dtn6_38 ADB9 140 N 
876.0234 M432 1246572 dtn8_44 ADB9 140 N 
878.9876 M433 2273182 dtn2_28 ADB9 140 N 
879.1880 M434 2995712 dtn8_44 ADB9 140 N 
879.5377 M435 2138819 dtn7_41 ADB9 140 N 
880.0864 M436 1094749 dtn7_41 ADB9 140 N 
880.2994 M437 1060289 dtn4_32 ADB9 140 N 
880.6453 M438 2069290 dtn1_25 ADB9 140 N 
881.0162 M439 1019273 dtn6_38 ADB9 140 N 
881.0267 M440 1648646 dtn6_40 ADB9 140 N 
881.4217 M441 2559185 dtn6_39 ADB9 140 N 
884.6685 M442 1796335 dtn7_42 ADB9 140 N 
885.1856 M443 2454605 dtn4_33 ADB9 140 N 
896.7653 M444 1105103 dtn1_24 ADB9 140 N 
897.3503 M445 1787137 dtn7_43 ADB9 140 N 
899.1012 M446 2496432 dtn6_39 ADB9 140 N 
901.1530 M447 2203803 dtn8_44 ADB9 140 N 
901.2174 M448 1613384 dtn5_36 ADB9 140 N 
901.4472 M449 2506099 dtn5_36 ADB9 140 N 
912.5794 M450 2407849 dtn7_41 ADB9 140 N 
916.5413 M451 1489659 dtn5_37 ADB9 140 N 
917.7195 M452 1362810 dtn1_25 ADB9 140 N 
919.0172 M453 1988060 dtn2_28 ADB9 140 N 
920.9137 M454 2795729 dtn8_45 ADB9 140 N 
920.9361 M455 2617960 dtn6_38 ADB9 140 N 
921.0227 M456 2467409 dtn3_29 ADB9 140 N 
922.8079 M457 1641547 dtn4_32 ADB9 140 N 
923.4652 M458 2845912 dtn5_37 ADB9 140 N 
926.7161 M459 1988967 dtn6_38 ADB9 140 N 
928.3649 M460 2459440 dtn6_38 ADB9 140 N 
930.4510 M461 1590160 dtn7_41 ADB9 140 N 
931.1039 M462 1402949 dtn8_45 ADB9 140 N 
931.4209 M463 2347453 dtn8_45 ADB9 140 N 
935.5639 M464 2459161 dtn2_27 ADB9 140 N 
937.0895 M465 1888064 dtn7_42 ADB9 140 N 
938.3934 M466 1095090 dtn1_23 ADB9 140 N 
938.4028 M467 2542017 dtn8_45 ADB9 140 N 
938.7206 M468 2715775 dtn7_42 ADB9 140 N 
939.3769 M469 2761437 dtn5_35 ADB9 140 N 
939.3846 M470 1761454 dtn2_27 ADB9 140 N 
942.8776 M471 2808921 dtn5_37 ADB9 140 N 
943.0424 M472 2607666 dtn8_46 ADB9 140 N 
944.5119 M473 2372250 dtn5_36 ADB9 140 N 
